Date,Close,High,Low,Open,Volume
3/6/95,485.6300048828125,485.70001220703125,481.5199890136719,485.4200134277344,298870000
3/7/95,482.1199951171875,485.6300048828125,479.70001220703125,485.6300048828125,355550000
3/8/95,483.1400146484375,484.0799865722656,481.57000732421875,482.1199951171875,349780000
3/9/95,483.1600036621094,483.7399902,482.04998779296875,483.1400146484375,319320000
3/10/95,489.57000732421875,490.3699951171875,483.1600036621094,483.1600036621094,382940000
3/13/95,490.04998779296875,491.2799987792969,489.3500061035156,489.57000732421875,275280000
3/14/95,492.8900146484375,493.69000244140625,490.04998779296875,490.04998779296875,346160000
3/15/95,491.8800048828125,492.8900146484375,490.8299865722656,492.8900146484375,309540000
3/16/95,495.4100036621094,495.7399902,491.7799987792969,491.8699951171875,336670000
3/17/95,495.5199890136719,496.6700134277344,494.95001220703125,495.42999267578125,417380000
3/20/95,496.1400146484375,496.6099853515625,495.2699890136719,495.5199890136719,301740000
3/21/95,495.07000732421875,499.19000244140625,494.0400085449219,496.1499938964844,367110000
3/22/95,495.6700134277344,495.6700134277344,493.6700134277344,495.07000732421875,313120000
3/23/95,495.95001220703125,496.7699890136719,494.19000244140625,495.6700134277344,318530000
3/24/95,500.9700012207031,500.9700012207031,496.07000732421875,496.07000732421875,358370000
3/27/95,503.20001220703125,503.20001220703125,500.92999267578125,500.9700012207031,296270000
3/28/95,503.8999938964844,503.9100036621094,501.8299865722656,503.19000244140625,320360000
3/29/95,503.1199951171875,508.1499938964844,500.9599914550781,503.9200134277344,385940000
3/30/95,502.2200012207031,504.6600036621094,501,503.1700134277344,362940000
3/31/95,500.7099914550781,502.2200012207031,495.70001220703125,501.94000244140625,353060000
4/3/95,501.8500061035156,501.9100036621094,500.20001220703125,500.70001220703125,296430000
4/4/95,505.2399902,505.2600098,501.8500061035156,501.8500061035156,330580000
4/5/95,505.57000732421875,505.57000732421875,503.1700134277344,505.2699890136719,315170000
4/6/95,506.0799865722656,507.1000061035156,505,505.6300048828125,320460000
4/7/95,506.4200134277344,507.19000244140625,503.5899963378906,506.1300048828125,314760000
4/10/95,507.0100098,507.0100098,504.6099853515625,506.29998779296875,260980000
4/11/95,505.5299987792969,508.8500061035156,505.2900085449219,507.2399902,310660000
4/12/95,507.1700134277344,507.1700134277344,505.07000732421875,505.5899963378906,327880000
4/13/95,509.2300109863281,509.8299865722656,507.1700134277344,507.19000244140625,301580000
4/17/95,506.1300048828125,512.0300293,505.42999267578125,509.2300109863281,333930000
4/18/95,505.3699951171875,507.6499938964844,504.1199951171875,506.42999267578125,344680000
4/19/95,504.9200134277344,505.8900146484375,501.19000244140625,505.3699951171875,378050000
4/20/95,505.2900085449219,506.5,503.44000244140625,504.9200134277344,368450000
4/21/95,508.4899902,508.4899902,505.6300048828125,505.6300048828125,403250000
4/24/95,512.8900146484375,513.0200195,507.44000244140625,508.4899902,326280000
4/25/95,512.0999755859375,513.5399780273438,511.32000732421875,512.7999877929688,351790000
4/26/95,512.6599731445312,513.0399780273438,510.4700012207031,511.9899902,350810000
4/27/95,513.5499877929688,513.6199951171875,511.6300048828125,512.7000122070312,350850000
4/28/95,514.7100219726562,515.2899780273438,510.8999938964844,513.6400146484375,320440000
5/1/95,514.2600098,515.5999755859375,513.4199829101562,514.7600098,296830000
5/2/95,514.8599853515625,515.1799926757812,513.0300293,514.2299805,302560000
5/3/95,520.4799805,520.5399780273438,514.8599853515625,514.9299926757812,392370000
5/4/95,520.5399780273438,525.4000244140625,519.4400024414062,520.4799805,434990000
5/5/95,520.1199951171875,522.3499755859375,518.2800293,520.75,342380000
5/8/95,523.9600219726562,525.1500244140625,519.1400146484375,520.0900268554688,291810000
5/9/95,523.5599975585938,525.9899902,521.7899780273438,523.9600219726562,361300000
5/10/95,524.3599853515625,524.4000244140625,521.5300293,523.7399902,381990000
5/11/95,524.3699951171875,524.8900146484375,522.7000122070312,524.3300170898438,339900000
5/12/95,525.5499877929688,527.0499877929688,523.2999877929688,524.3699951171875,361000000
5/15/95,527.7399902,527.7399902,525,525.5499877929688,316240000
5/16/95,528.1900024414062,529.0800170898438,526.4500122070312,527.7399902,366180000
5/17/95,527.0700073242188,528.4199829101562,525.3800048828125,528.1900024414062,347930000
5/18/95,519.5800170898438,526.8800048828125,519.5800170898438,526.8800048828125,351900000
5/19/95,519.1900024414062,519.5800170898438,517.0700073242188,519.5800170898438,354010000
5/22/95,523.6500244140625,524.3400268554688,519.1900024414062,519.1900024414062,285600000
5/23/95,528.5900268554688,528.5900268554688,523.6500244140625,523.6500244140625,362690000
5/24/95,528.6099853515625,531.9099731445312,525.5700073242188,528.5900268554688,391770000
5/25/95,528.5900268554688,529.0399780273438,524.8900146484375,528.3699951171875,341820000
5/26/95,523.6500244140625,528.5900268554688,522.5100098,528.5900268554688,291220000
5/30/95,523.5800170898438,525.5800170898438,521.3800048828125,523.6500244140625,283020000
5/31/95,533.4000244140625,533.4099731445312,522.1699829101562,523.7000122070312,358180000
6/1/95,533.4899902,534.2100219726562,530.0499877929688,533.4000244140625,345920000
